,Dim_0,Dim_1=0,Dim_2=0,Dim_3=0,Dim_4=0,Dim_5=0,Dim_6=0,Dim_7=0,Dim_8=0,Dim_9=0,Dim_10=0,Dim_11=0,Dim_12=0,Dim_13=0,Dim_14=0,Dim_15=0,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,isof_scores
0,0.75,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0.001132,0.08078,0.197324,0.300926,0.225,51.97787531007462
1,0.239583,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000472,0.164345,0.235786,0.537037,0.165625,11.996919283468145
2,0.479167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003585,0.130919,0.167224,0.527778,0.11875,5.895884579388039
3,0.65625,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001698,0.091922,0.125418,0.337963,0.129688,8.949619739529098
4,0.229167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000472,0.142061,0.229097,0.337963,0.235938,8.80227089119252
5,0.708333,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000472,0.086351,0.140468,0.24537,0.189063,13.758772700806887
6,0.875,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000472,0.125348,0.210702,0.402778,0.185937,20.136445112965163
7,0.489583,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003925,0.108635,0.140468,0.282407,0.16875,8.02137963511764
8,0.6875,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.002453,0.130919,0.14214,0.425926,0.121875,17.90176739783331
9,0.78125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000189,0.158774,0.204013,0.513889,0.148438,10.515404665669251
10,0.635417,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.020755,0.041783,0.118729,0.263889,0.15,40.634858586443556
11,0.177083,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.000189,0.125348,0.160535,0.314815,0.176563,33.83355507051584
12,0.604167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001509,0.125348,0.153846,0.37963,0.144922,1.3296140986794427
13,0.5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001132,0.125348,0.185619,0.393519,0.170313,13.254845913309467
14,0.541667,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.00434,0.108635,0.102007,0.361111,0.1,33.042011338655044
15,0.395833,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000189,0.097493,0.147157,0.25,0.19375,4.885556175014955
16,0.395833,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.001132,0.108635,0.187291,0.384259,0.175,17.968014170366047
